churn_intent,satisfaction_score,nps,engagement_count,services_count,loyalty_tier,tenure_months,avg_monthly_spend,upgrade_willingness,value_for_money,pref_channel,network_quality_score,service_quality_score,plan_flexibility,retention_incentives,pain_points,digital_literacy,income_bracket,age_group,payment_method,multi_sim_usage,price_quality_weight,churn_flag
2,6.3,7,19,1,Bronze,29,9.34,2,3,App push,5,4,4,"Streaming subscription, Extra data","Dropped calls, Poor support",Intermediate,5-10k,35-44,Debit card,No,8,0
1,7.1,5,18,1,Gold,40,21.85,2,5,App push,4,5,3,Loyalty points,"Dropped calls, Slow data, Poor support",Advanced,10-20k,25-34,Credit card,No,5,0
1,7.7,8,13,3,Silver,11,20.56,5,5,SMS,5,5,2,"Loyalty points, Streaming subscription","Billing errors, Poor support",Advanced,<5k,18-24,Debit card,No,6,0
1,7.5,9,12,4,Silver,13,19.81,2,4,Email,5,5,2,"Device upgrade, Price discount",,Intermediate,10-20k,45-54,Wallet,Yes,2,0
3,8.3,8,13,3,Bronze,7,27.73,3,1,SMS,5,4,4,"Price discount, Loyalty points",Hidden fees,Advanced,10-20k,25-34,Debit card,No,4,0
4,6.5,7,13,4,Silver,45,53.85,1,5,App push,5,5,4,Price discount,"Poor support, Dropped calls",Advanced,5-10k,18-24,Wallet,No,8,1
3,8.0,10,18,1,Bronze,60,20.77,5,4,App push,2,3,5,"Device upgrade, Streaming subscription",Slow data,Intermediate,<5k,18-24,Auto-pay,No,10,0
2,6.8,6,16,4,Platinum,5,26.94,4,4,Phone call,5,2,2,Loyalty points,"Hidden fees, Slow data, Poor support",Intermediate,5-10k,35-44,Credit card,No,1,0
4,8.4,7,17,3,Gold,24,36.59,3,2,SMS,5,4,4,"Loyalty points, Extra data, Price discount","Dropped calls, Slow data",Intermediate,10-20k,35-44,Credit card,Yes,5,1
2,8.2,10,20,2,Bronze,12,33.27,2,5,Email,3,5,3,"Streaming subscription, Device upgrade, Extra data","Slow data, Poor support, Dropped calls",Beginner,20k+,18-24,Credit card,Yes,7,0
4,5.7,8,8,4,Silver,12,70.0,4,4,SMS,5,3,5,Streaming subscription,"Slow data, Dropped calls, Poor support",Advanced,10-20k,25-34,Debit card,No,4,1
4,8.9,9,15,2,Bronze,30,25.87,5,1,Email,4,2,3,Extra data,,Advanced,5-10k,25-34,Credit card,No,8,1
4,6.3,8,14,4,Silver,20,33.15,1,3,Email,5,2,3,Price discount,"Dropped calls, Poor support",Intermediate,10-20k,35-44,Wallet,Yes,4,1
4,8.5,10,15,4,Gold,28,13.19,4,5,SMS,1,5,3,"Streaming subscription, Loyalty points, Device upgrade","Hidden fees, Slow data, Poor support",Advanced,5-10k,18-24,Credit card,No,6,1
3,7.8,7,16,3,Silver,59,49.15,2,1,App push,4,5,4,,Slow data,Intermediate,10-20k,35-44,Credit card,No,5,0
3,10.0,9,10,3,Bronze,25,53.91,4,5,Email,3,3,5,Loyalty points,"Slow data, Hidden fees, Dropped calls",Advanced,<5k,25-34,Credit card,No,9,0
2,6.8,8,16,1,Bronze,31,16.49,4,4,App push,5,4,1,"Loyalty points, Price discount",,Intermediate,10-20k,45-54,Auto-pay,Yes,4,0
5,6.6,9,14,2,Gold,39,27.29,1,4,Email,3,4,1,"Device upgrade, Extra data, Streaming subscription","Billing errors, Hidden fees",Advanced,5-10k,18-24,Cash,No,5,1
4,7.2,8,11,2,Silver,11,34.93,1,2,Phone call,3,5,5,Streaming subscription,"Billing errors, Slow data",Advanced,20k+,25-34,Auto-pay,Yes,8,1
5,6.7,6,16,3,Silver,33,18.17,1,2,Phone call,4,3,3,"Loyalty points, Price discount, Streaming subscription",,Advanced,5-10k,18-24,Auto-pay,Yes,3,1
2,8.5,10,9,3,Bronze,12,127.88,3,5,Phone call,5,5,4,"Loyalty points, Device upgrade",,Intermediate,10-20k,45-54,Debit card,No,6,0
5,4.6,4,14,4,Bronze,6,26.84,1,2,App push,3,4,3,"Extra data, Device upgrade",,Intermediate,20k+,45-54,Credit card,Yes,1,1
4,5.5,5,14,1,Platinum,26,10.94,1,4,App push,2,5,1,"Device upgrade, Price discount","Dropped calls, Poor support",Advanced,<5k,25-34,Credit card,No,3,1
4,5.5,6,13,3,Silver,7,31.58,3,2,App push,5,1,4,Loyalty points,"Hidden fees, Dropped calls",Intermediate,20k+,35-44,Credit card,Yes,7,1
2,8.7,10,108,4,Silver,80,13.4,3,1,SMS,4,4,4,"Streaming subscription, Extra data, Loyalty points","Slow data, Hidden fees",Intermediate,10-20k,45-54,Cash,No,4,0
4,9.9,10,12,3,Silver,17,41.12,5,1,App push,5,4,2,Loyalty points,"Poor support, Hidden fees",Intermediate,<5k,35-44,Credit card,No,5,1
1,7.0,7,13,1,Gold,49,16.96,1,3,App push,2,4,2,"Extra data, Streaming subscription","Hidden fees, Dropped calls, Poor support",Advanced,5-10k,25-34,Credit card,No,7,0
1,6.9,7,16,1,Bronze,7,22.45,2,5,Phone call,5,2,5,"Loyalty points, Device upgrade, Streaming subscription","Hidden fees, Slow data",Advanced,10-20k,25-34,Cash,No,5,0
4,7.3,7,12,1,Bronze,25,52.18,1,2,Email,3,5,1,"Streaming subscription, Loyalty points, Extra data",,Intermediate,<5k,18-24,Cash,No,8,1
2,9.1,10,14,3,Silver,10,32.23,3,2,Email,3,3,5,"Loyalty points, Price discount",,Intermediate,5-10k,45-54,Cash,No,7,0
2,5.7,3,16,3,Silver,4,13.55,2,2,App push,5,5,2,"Loyalty points, Price discount, Device upgrade",Slow data,Intermediate,5-10k,45-54,Debit card,No,7,0
1,7.6,7,16,4,Gold,2,14.04,2,3,Phone call,4,5,3,"Device upgrade, Extra data, Loyalty points","Hidden fees, Billing errors, Slow data",Intermediate,10-20k,35-44,Wallet,Yes,9,0
3,8.8,9,16,2,Gold,7,17.64,5,3,SMS,5,4,5,"Extra data, Streaming subscription",Dropped calls,Advanced,<5k,25-34,Debit card,No,7,0
1,8.0,7,9,2,Silver,7,30.48,5,5,Email,4,5,4,"Extra data, Price discount, Loyalty points",Slow data,Advanced,20k+,25-34,Credit card,No,10,0
1,7.5,8,12,3,Bronze,2,29.88,2,3,Email,4,5,3,Extra data,"Hidden fees, Slow data, Poor support",Intermediate,20k+,35-44,Wallet,No,8,0
1,8.8,9,14,3,Platinum,36,15.43,4,3,SMS,4,4,4,,"Dropped calls, Hidden fees",Intermediate,20k+,45-54,Auto-pay,Yes,5,0
1,2.9,5,13,4,Silver,43,12.91,4,1,SMS,5,5,2,Streaming subscription,"Billing errors, Poor support",Intermediate,10-20k,45-54,Credit card,Yes,9,0
4,8.3,10,17,3,Silver,10,28.64,5,5,Email,3,3,2,"Device upgrade, Streaming subscription","Hidden fees, Dropped calls",Intermediate,<5k,35-44,Debit card,No,7,1
1,6.2,6,18,2,Silver,14,22.2,5,2,App push,3,4,5,"Price discount, Extra data, Loyalty points",Dropped calls,Intermediate,10-20k,35-44,Debit card,No,5,0
2,4.3,4,17,3,Silver,16,80.36,3,1,SMS,4,5,4,"Streaming subscription, Device upgrade","Billing errors, Poor support",Advanced,<5k,18-24,Credit card,No,7,0
3,8.0,8,19,4,Bronze,39,25.03,1,4,Email,4,4,4,Streaming subscription,"Slow data, Dropped calls, Poor support",Advanced,<5k,18-24,Wallet,Yes,9,0
2,9.4,9,81,2,Gold,160,66.54,4,3,App push,3,4,2,"Device upgrade, Loyalty points","Hidden fees, Dropped calls, Slow data",Intermediate,5-10k,45-54,Credit card,Yes,7,0
1,7.0,7,13,2,Gold,25,12.89,2,3,Phone call,5,4,1,"Loyalty points, Streaming subscription, Price discount","Billing errors, Poor support, Hidden fees",Intermediate,5-10k,35-44,Wallet,No,10,0
4,8.7,8,12,1,Silver,24,10.33,5,3,Phone call,3,5,1,"Device upgrade, Loyalty points","Hidden fees, Billing errors",Advanced,10-20k,18-24,Cash,No,9,1
2,9.8,8,21,1,Silver,13,13.25,4,4,Email,5,5,3,"Loyalty points, Extra data","Hidden fees, Poor support, Billing errors",Advanced,10-20k,18-24,Debit card,Yes,7,0
5,9.3,10,18,3,Bronze,2,47.18,5,1,Phone call,2,4,4,"Loyalty points, Streaming subscription","Poor support, Slow data",Intermediate,5-10k,35-44,Credit card,Yes,3,1
2,9.8,10,16,1,Bronze,15,64.45,3,5,SMS,5,5,3,"Loyalty points, Device upgrade, Price discount",Billing errors,Advanced,5-10k,18-24,Credit card,No,6,0
3,8.4,7,13,2,Bronze,45,15.96,3,4,App push,5,5,5,"Streaming subscription, Device upgrade, Extra data",Dropped calls,Advanced,20k+,18-24,Credit card,No,6,0
2,7.3,8,15,2,Bronze,11,76.16,1,3,App push,3,2,1,Loyalty points,,Advanced,5-10k,25-34,Credit card,No,8,0
2,4.6,4,12,3,Platinum,14,12.9,2,3,SMS,5,3,2,"Price discount, Loyalty points, Extra data",Slow data,Beginner,5-10k,35-44,Credit card,No,8,0
3,6.8,7,8,2,Gold,34,9.06,2,2,Email,4,5,2,"Streaming subscription, Extra data, Price discount","Poor support, Dropped calls",Beginner,<5k,35-44,Wallet,No,6,0
4,5.9,7,12,3,Silver,14,36.42,1,4,SMS,5,5,3,"Device upgrade, Loyalty points","Slow data, Dropped calls, Billing errors",Advanced,10-20k,25-34,Debit card,Yes,6,1
1,10.0,10,12,1,Silver,16,27.73,5,3,App push,5,5,1,"Device upgrade, Extra data, Price discount",,Intermediate,10-20k,35-44,Wallet,No,8,0
1,6.9,7,15,1,Bronze,34,24.67,1,2,Email,4,4,5,"Extra data, Device upgrade, Price discount",Billing errors,Advanced,<5k,25-34,Debit card,No,4,0
2,7.4,7,15,2,Platinum,2,11.36,1,3,App push,3,2,2,"Streaming subscription, Price discount","Billing errors, Dropped calls, Poor support",Advanced,<5k,25-34,Wallet,No,10,0
1,8.1,8,16,2,Silver,6,60.46,5,5,SMS,4,4,5,Price discount,"Poor support, Dropped calls",Intermediate,10-20k,35-44,Auto-pay,No,1,0
4,7.3,7,13,2,Bronze,64,18.6,1,3,SMS,2,3,3,Streaming subscription,Billing errors,Intermediate,10-20k,35-44,Credit card,No,10,1
2,9.9,9,13,1,Silver,34,32.9,5,5,Phone call,2,3,5,"Streaming subscription, Extra data","Poor support, Hidden fees, Dropped calls",Intermediate,5-10k,45-54,Wallet,No,6,0
4,6.2,6,14,4,Gold,38,11.02,3,2,App push,2,5,3,"Loyalty points, Device upgrade","Slow data, Poor support",Intermediate,20k+,35-44,Cash,No,9,1
2,7.5,6,18,3,Gold,24,22.09,4,1,Phone call,4,2,5,Device upgrade,"Billing errors, Poor support, Slow data",Intermediate,<5k,35-44,Wallet,No,7,0
2,6.0,5,10,1,Bronze,26,28.8,1,2,Email,5,5,1,"Price discount, Extra data, Streaming subscription",Hidden fees,Advanced,5-10k,18-24,Cash,Yes,7,0
4,5.1,5,14,1,Gold,11,29.37,2,3,SMS,2,4,4,Price discount,"Billing errors, Dropped calls, Poor support",Advanced,20k+,25-34,Debit card,No,7,1
5,6.2,6,14,4,Bronze,15,26.71,3,2,Email,2,4,5,"Streaming subscription, Extra data","Billing errors, Dropped calls",Advanced,5-10k,25-34,Credit card,No,8,1
4,7.1,7,24,3,Bronze,38,32.2,3,1,Email,5,2,1,"Price discount, Device upgrade","Dropped calls, Billing errors",Advanced,10-20k,25-34,Credit card,Yes,5,1
4,6.5,6,19,2,Gold,13,13.17,3,5,SMS,3,4,1,"Price discount, Loyalty points, Extra data","Hidden fees, Slow data, Billing errors",Beginner,5-10k,55+,Debit card,Yes,9,1
2,6.1,7,20,3,Gold,11,27.35,1,5,App push,2,2,3,"Device upgrade, Streaming subscription, Price discount",Hidden fees,Advanced,5-10k,25-34,Auto-pay,No,3,0
5,4.9,6,11,3,Silver,19,26.12,1,4,Email,3,5,5,"Loyalty points, Extra data",,Intermediate,20k+,45-54,Cash,No,6,1
1,7.1,6,18,3,Silver,24,27.87,2,1,SMS,5,5,3,"Extra data, Streaming subscription","Billing errors, Dropped calls",Intermediate,5-10k,35-44,Credit card,Yes,8,0
3,4.8,3,15,2,Gold,47,25.53,3,1,Email,5,4,3,"Extra data, Price discount, Loyalty points",Poor support,Intermediate,20k+,35-44,Wallet,No,8,0
3,8.4,7,12,2,Gold,104,12.18,4,1,App push,4,3,1,"Device upgrade, Extra data","Poor support, Billing errors",Intermediate,<5k,25-34,Wallet,No,7,0
1,7.3,7,20,1,Gold,8,11.88,1,4,App push,5,5,1,"Streaming subscription, Device upgrade, Loyalty points",,Intermediate,<5k,35-44,Credit card,No,5,0
2,4.9,4,14,4,Silver,31,7.26,3,5,Email,4,4,5,"Price discount, Extra data",Billing errors,Advanced,<5k,25-34,Credit card,Yes,8,0
2,6.7,6,13,3,Platinum,21,38.46,1,3,Email,5,3,1,"Loyalty points, Extra data",Dropped calls,Advanced,10-20k,18-24,Credit card,No,4,0
2,6.0,4,18,2,Platinum,3,38.68,1,1,SMS,5,4,4,,Poor support,Intermediate,5-10k,35-44,Wallet,Yes,10,0
3,7.7,7,13,4,Bronze,54,39.02,1,3,Phone call,5,5,5,"Loyalty points, Device upgrade",Slow data,Advanced,20k+,25-34,Wallet,No,6,0
4,9.3,10,13,4,Gold,14,29.04,4,2,Phone call,3,1,2,"Device upgrade, Price discount, Extra data","Hidden fees, Billing errors",Advanced,5-10k,18-24,Credit card,No,2,1
5,4.2,5,13,4,Silver,13,7.59,2,2,App push,1,3,4,"Extra data, Price discount, Loyalty points",Dropped calls,Intermediate,20k+,35-44,Credit card,No,3,1
1,7.4,7,11,4,Silver,54,13.95,1,4,SMS,4,5,1,"Extra data, Streaming subscription","Slow data, Hidden fees, Billing errors",Advanced,<5k,18-24,Wallet,No,6,0
1,6.9,6,14,4,Silver,19,26.94,1,4,Email,5,3,4,"Loyalty points, Price discount, Device upgrade",,Intermediate,20k+,45-54,Auto-pay,Yes,6,0
2,8.3,7,15,2,Bronze,43,26.43,2,1,App push,4,2,1,"Loyalty points, Extra data","Dropped calls, Hidden fees, Slow data",Beginner,10-20k,55+,Wallet,No,10,0
1,7.5,7,15,3,Silver,16,21.7,1,1,Phone call,5,4,4,Streaming subscription,"Hidden fees, Dropped calls, Slow data",Intermediate,10-20k,45-54,Cash,No,3,0
2,6.0,5,12,3,Gold,28,30.05,2,5,Phone call,5,5,2,"Device upgrade, Loyalty points, Extra data",Dropped calls,Advanced,10-20k,25-34,Credit card,No,6,0
5,6.7,7,22,2,Bronze,18,24.69,1,2,App push,3,4,3,"Device upgrade, Extra data","Billing errors, Dropped calls, Hidden fees",Advanced,10-20k,18-24,Debit card,No,3,1
5,5.9,4,16,1,Silver,9,26.22,2,1,SMS,5,5,3,"Device upgrade, Price discount, Loyalty points","Slow data, Billing errors, Dropped calls",Intermediate,10-20k,45-54,Credit card,Yes,5,1
1,8.9,8,13,4,Platinum,29,17.26,2,1,Phone call,5,5,1,"Loyalty points, Price discount, Device upgrade",,Advanced,<5k,25-34,Wallet,Yes,10,0
4,7.2,8,10,2,Silver,34,42.1,1,1,App push,5,2,4,"Device upgrade, Extra data, Loyalty points","Poor support, Dropped calls",Advanced,<5k,55+,Debit card,Yes,3,1
2,10.0,10,11,4,Silver,20,19.36,3,2,App push,5,5,2,Loyalty points,Billing errors,Beginner,20k+,55+,Wallet,No,7,0
3,7.1,10,23,1,Silver,2,11.8,1,5,Email,5,4,4,"Price discount, Extra data",,Intermediate,10-20k,45-54,Debit card,Yes,7,0
3,6.1,7,15,1,Silver,7,16.05,2,2,Email,3,3,1,"Price discount, Streaming subscription","Hidden fees, Dropped calls, Poor support",Advanced,10-20k,25-34,Wallet,Yes,6,0
1,4.8,4,13,2,Silver,12,20.25,2,3,Email,5,4,4,"Extra data, Streaming subscription","Billing errors, Hidden fees, Dropped calls",Beginner,5-10k,25-34,Credit card,No,7,0
1,4.3,4,21,2,Gold,51,42.38,3,4,SMS,2,4,1,Device upgrade,"Hidden fees, Slow data",Intermediate,<5k,45-54,Debit card,Yes,3,0
4,4.7,3,14,3,Silver,19,23.97,1,3,Email,5,2,3,"Price discount, Streaming subscription",,Advanced,<5k,25-34,Cash,Yes,10,1
2,7.6,8,14,3,Gold,50,22.15,1,5,App push,5,1,2,Extra data,"Hidden fees, Poor support",Advanced,10-20k,18-24,Credit card,No,10,0
1,8.0,7,12,1,Silver,40,12.34,4,5,SMS,4,4,4,Streaming subscription,,Intermediate,5-10k,35-44,Auto-pay,Yes,6,0
1,4.7,6,15,1,Bronze,13,37.79,3,1,SMS,5,5,2,Device upgrade,,Intermediate,<5k,45-54,Debit card,No,10,0
2,8.6,8,18,2,Silver,23,17.14,4,4,SMS,4,4,5,Streaming subscription,Dropped calls,Intermediate,5-10k,35-44,Debit card,No,5,0
4,6.4,6,17,1,Gold,35,23.22,2,3,Email,4,5,5,"Extra data, Device upgrade",Poor support,Intermediate,<5k,35-44,Wallet,Yes,7,1
5,7.4,7,15,3,Silver,10,55.37,1,5,Phone call,4,3,1,"Streaming subscription, Loyalty points, Extra data","Hidden fees, Poor support, Billing errors",Advanced,5-10k,18-24,Wallet,No,10,1
1,9.8,10,14,2,Bronze,33,32.45,2,3,SMS,5,3,4,"Streaming subscription, Price discount","Slow data, Dropped calls",Intermediate,5-10k,35-44,Debit card,No,5,0
1,8.6,8,25,1,Bronze,30,10.02,5,5,SMS,5,3,1,"Device upgrade, Extra data, Loyalty points","Hidden fees, Slow data",Beginner,10-20k,55+,Auto-pay,No,3,0
1,6.8,9,18,2,Bronze,9,9.27,2,4,Phone call,5,3,2,Extra data,,Advanced,5-10k,18-24,Credit card,No,2,0
2,5.8,7,13,1,Bronze,28,23.68,3,2,App push,3,3,4,"Device upgrade, Extra data","Poor support, Dropped calls, Slow data",Advanced,5-10k,25-34,Credit card,No,10,0
2,3.8,4,14,1,Silver,18,12.59,2,3,SMS,5,5,4,Price discount,"Poor support, Hidden fees, Dropped calls",Intermediate,<5k,45-54,Debit card,Yes,5,0
2,6.0,6,15,2,Bronze,5,35.05,2,5,App push,5,5,4,"Streaming subscription, Device upgrade",Hidden fees,Intermediate,<5k,35-44,Debit card,No,6,0
4,6.9,7,10,4,Gold,12,25.11,1,5,App push,3,5,2,Extra data,"Poor support, Slow data",Beginner,5-10k,35-44,Debit card,No,3,1
5,5.6,3,11,4,Bronze,12,26.87,2,1,App push,2,3,2,Loyalty points,"Billing errors, Hidden fees, Slow data",Intermediate,5-10k,35-44,Credit card,No,8,1
1,7.0,7,22,3,Bronze,57,16.63,1,4,Email,3,5,1,"Price discount, Device upgrade, Loyalty points",Poor support,Advanced,10-20k,25-34,Debit card,No,4,0
3,7.3,8,17,2,Silver,7,63.93,2,2,Phone call,5,4,4,Extra data,,Advanced,5-10k,25-34,Wallet,Yes,5,0
4,6.8,7,21,2,Bronze,11,117.15,2,1,SMS,5,2,3,Device upgrade,Billing errors,Intermediate,10-20k,45-54,Debit card,No,7,1
1,6.2,5,18,2,Gold,26,21.05,3,3,SMS,5,5,4,"Price discount, Extra data, Loyalty points","Hidden fees, Slow data, Billing errors",Intermediate,20k+,45-54,Auto-pay,No,3,0
2,7.5,7,20,3,Bronze,20,29.79,2,2,Email,3,5,2,"Extra data, Device upgrade",,Beginner,10-20k,45-54,Wallet,No,6,0
2,7.9,10,12,4,Silver,17,25.88,2,5,Email,5,3,2,Extra data,Billing errors,Intermediate,<5k,45-54,Credit card,Yes,10,0
5,5.5,7,12,1,Gold,16,21.27,1,2,Phone call,1,4,2,"Extra data, Loyalty points",Billing errors,Advanced,5-10k,25-34,Credit card,No,7,1
1,9.5,9,4,1,Silver,38,15.52,4,5,App push,4,3,1,"Loyalty points, Extra data, Streaming subscription","Hidden fees, Poor support",Beginner,<5k,25-34,Credit card,No,6,0
2,7.0,8,12,3,Bronze,10,13.51,1,1,SMS,5,5,2,"Device upgrade, Extra data, Streaming subscription",,Intermediate,<5k,35-44,Wallet,Yes,7,0
2,7.2,7,12,3,Silver,7,13.14,3,2,Email,2,4,5,Device upgrade,,Intermediate,20k+,35-44,Credit card,Yes,5,0
3,8.3,6,16,3,Gold,2,30.66,5,2,Email,5,5,5,"Extra data, Streaming subscription, Loyalty points",,Beginner,<5k,35-44,Credit card,Yes,10,0
2,7.6,6,14,3,Platinum,13,18.43,1,2,Phone call,3,2,3,"Streaming subscription, Loyalty points",Billing errors,Intermediate,5-10k,35-44,Auto-pay,No,4,0
3,8.7,10,9,4,Gold,5,5.94,2,1,App push,5,4,3,"Extra data, Loyalty points",,Intermediate,10-20k,45-54,Cash,No,7,0
4,7.7,7,17,2,Bronze,15,125.32,2,1,App push,4,4,1,"Streaming subscription, Extra data, Price discount","Poor support, Billing errors",Advanced,10-20k,25-34,Credit card,No,6,1
4,6.2,6,18,4,Platinum,3,24.02,4,3,App push,4,4,5,"Extra data, Streaming subscription, Price discount",Slow data,Advanced,5-10k,25-34,Credit card,Yes,9,1
2,7.8,7,21,4,Bronze,15,51.45,2,2,App push,2,4,1,"Device upgrade, Extra data",Hidden fees,Advanced,<5k,18-24,Wallet,No,9,0
1,5.4,8,22,3,Bronze,25,30.12,1,3,App push,1,5,5,"Extra data, Loyalty points",Hidden fees,Intermediate,5-10k,35-44,Wallet,No,6,0
1,7.4,9,19,2,Gold,19,10.88,5,2,SMS,5,5,3,"Loyalty points, Price discount","Hidden fees, Dropped calls",Advanced,5-10k,18-24,Credit card,No,7,0
2,7.1,10,17,1,Bronze,31,7.2,3,5,App push,3,5,2,Price discount,Billing errors,Advanced,<5k,25-34,Debit card,Yes,7,0
5,6.9,7,23,2,Bronze,42,16.52,1,5,App push,5,5,5,"Device upgrade, Price discount, Streaming subscription",Hidden fees,Advanced,5-10k,25-34,Wallet,Yes,0,1
4,7.0,7,16,2,Bronze,24,17.4,4,3,App push,5,5,1,"Device upgrade, Extra data, Streaming subscription",,Advanced,<5k,25-34,Wallet,No,2,1
2,4.2,2,22,4,Silver,19,41.21,2,2,Phone call,3,4,3,"Loyalty points, Price discount","Billing errors, Poor support",Intermediate,<5k,35-44,Wallet,No,4,0
1,6.3,8,15,1,Gold,27,24.41,1,1,App push,3,5,3,Price discount,Dropped calls,Advanced,5-10k,18-24,Debit card,No,5,0
2,7.3,6,19,2,Silver,25,45.77,2,5,App push,5,4,2,"Extra data, Device upgrade",,Advanced,<5k,18-24,Auto-pay,Yes,3,0
1,7.5,8,7,3,Bronze,35,11.84,3,1,Phone call,5,4,3,Device upgrade,,Intermediate,5-10k,45-54,Credit card,No,8,0
2,5.6,4,15,1,Silver,20,41.72,2,2,SMS,5,4,4,"Streaming subscription, Device upgrade","Dropped calls, Slow data, Billing errors",Advanced,10-20k,25-34,Credit card,Yes,6,0
2,9.2,8,20,2,Platinum,6,36.47,2,2,Email,4,4,4,"Loyalty points, Device upgrade",,Advanced,10-20k,18-24,Cash,No,5,0
3,5.8,5,9,2,Gold,41,8.08,5,2,App push,5,3,1,"Streaming subscription, Price discount","Hidden fees, Poor support",Advanced,<5k,25-34,Debit card,No,3,0
2,8.8,8,15,3,Bronze,3,50.78,2,1,Email,2,5,5,"Streaming subscription, Loyalty points, Price discount",,Advanced,<5k,35-44,Wallet,No,6,0
4,7.9,7,14,1,Platinum,33,25.83,3,4,App push,5,4,1,"Price discount, Extra data","Billing errors, Hidden fees",Advanced,<5k,25-34,Credit card,No,0,1
2,6.2,6,14,4,Gold,26,121.76,2,1,App push,5,2,2,Loyalty points,"Billing errors, Dropped calls",Intermediate,10-20k,35-44,Wallet,No,6,0
2,10.0,10,15,2,Bronze,27,15.25,3,4,App push,3,4,2,"Device upgrade, Streaming subscription, Extra data","Hidden fees, Poor support, Dropped calls",Advanced,10-20k,18-24,Credit card,No,6,0
2,5.3,4,22,4,Bronze,21,49.47,1,1,Phone call,3,2,1,"Extra data, Streaming subscription",Billing errors,Advanced,<5k,18-24,Cash,No,7,0
5,8.7,9,18,2,Bronze,11,12.78,5,1,Email,2,2,1,Streaming subscription,Dropped calls,Advanced,20k+,25-34,Credit card,No,2,1
5,8.8,10,15,2,Gold,18,38.77,4,5,App push,3,3,5,"Loyalty points, Device upgrade, Extra data","Dropped calls, Billing errors",Advanced,<5k,25-34,Cash,Yes,7,1
5,6.1,5,13,1,Bronze,45,38.53,2,1,App push,5,4,2,"Streaming subscription, Device upgrade, Price discount",Poor support,Intermediate,5-10k,35-44,Cash,No,3,1
2,9.4,9,17,1,Silver,27,14.36,4,5,Email,4,4,1,"Extra data, Device upgrade","Billing errors, Poor support",Intermediate,10-20k,35-44,Debit card,Yes,4,0
1,6.8,7,15,2,Bronze,28,73.03,3,3,SMS,2,5,1,"Extra data, Price discount","Hidden fees, Slow data",Beginner,20k+,55+,Credit card,Yes,8,0
3,7.7,9,15,1,Platinum,46,27.86,2,1,App push,4,5,4,Price discount,"Slow data, Hidden fees",Intermediate,10-20k,25-34,Debit card,No,10,0
1,7.6,8,11,2,Bronze,50,35.15,1,5,App push,5,4,5,"Extra data, Device upgrade","Poor support, Slow data",Advanced,10-20k,25-34,Wallet,No,6,0
3,7.0,6,12,3,Gold,34,10.59,1,2,App push,5,4,2,Price discount,"Slow data, Hidden fees, Dropped calls",Intermediate,5-10k,35-44,Credit card,No,4,0
1,8.5,9,18,2,Platinum,69,78.63,5,5,Email,4,4,1,"Loyalty points, Price discount",,Advanced,10-20k,25-34,Credit card,No,6,0
5,8.5,7,12,1,Bronze,27,12.51,4,1,SMS,3,5,2,"Device upgrade, Streaming subscription, Loyalty points",,Advanced,<5k,25-34,Credit card,No,8,1
5,4.4,5,18,3,Silver,34,43.11,1,5,Email,5,2,1,Device upgrade,"Poor support, Slow data",Advanced,20k+,18-24,Auto-pay,No,8,1
2,9.3,10,14,4,Bronze,39,14.19,5,1,Email,5,1,1,Price discount,,Advanced,5-10k,18-24,Debit card,No,10,0
5,4.5,4,17,1,Gold,48,17.45,3,3,Phone call,3,5,3,"Device upgrade, Loyalty points","Poor support, Hidden fees",Beginner,10-20k,55+,Credit card,No,4,1
1,8.9,8,19,1,Silver,9,37.86,2,4,SMS,2,4,2,,"Hidden fees, Poor support",Intermediate,5-10k,45-54,Wallet,Yes,7,0
1,9.0,8,12,4,Bronze,6,43.17,5,5,Phone call,2,2,3,"Streaming subscription, Extra data, Price discount","Poor support, Billing errors",Intermediate,10-20k,35-44,Cash,Yes,10,0
5,5.5,6,10,1,Bronze,6,12.19,2,5,Phone call,2,3,2,"Extra data, Device upgrade, Price discount",,Intermediate,5-10k,25-34,Credit card,No,10,1
1,6.5,8,13,4,Silver,13,44.69,1,5,Phone call,4,5,5,"Loyalty points, Device upgrade",Hidden fees,Advanced,10-20k,18-24,Auto-pay,No,1,0
4,5.4,5,17,1,Platinum,40,43.59,1,5,Email,5,5,5,Loyalty points,"Slow data, Billing errors, Hidden fees",Advanced,<5k,18-24,Cash,Yes,6,1
4,6.9,7,18,4,Silver,16,14.65,2,1,Phone call,4,5,3,"Device upgrade, Extra data","Billing errors, Dropped calls, Poor support",Advanced,<5k,25-34,Debit card,No,10,1
3,6.7,4,12,2,Gold,18,59.1,3,2,Email,5,4,2,Loyalty points,"Billing errors, Dropped calls, Hidden fees",Advanced,<5k,25-34,Debit card,No,10,0
1,8.4,8,14,4,Silver,6,11.01,3,2,SMS,4,4,2,Price discount,"Dropped calls, Slow data, Billing errors",Intermediate,<5k,35-44,Wallet,No,8,0
3,9.3,9,18,2,Bronze,6,17.4,3,2,SMS,5,5,3,"Streaming subscription, Device upgrade","Poor support, Dropped calls",Intermediate,20k+,35-44,Credit card,No,5,0
1,9.4,8,16,3,Platinum,13,31.93,4,2,Phone call,5,5,4,Extra data,"Dropped calls, Slow data, Poor support",Advanced,<5k,25-34,Credit card,No,3,0
2,6.3,5,14,1,Bronze,10,15.34,2,3,SMS,3,3,3,"Loyalty points, Price discount","Dropped calls, Billing errors, Poor support",Beginner,20k+,55+,Credit card,No,10,0
